position,velocity,acceleration,jerk,heading,dt,x,y,
-21.31255,-2.43933,7.15734,-4.48249,-1.81227,0.05,24.78028,20.34394, true
-21.41708,-2.09061,6.97442,-3.65837,-1.80353,0.05,24.80483,20.44555, true
-21.50455,-1.74931,6.826,-2.96838,-1.79668,0.05,24.8247,20.53073, true
-21.57524,-1.41395,6.70708,-2.3784,-1.79146,0.05,24.84036,20.59967, true
-21.62941,-1.08325,6.61407,-1.86021,-1.78764,0.05,24.85211,20.65254, true
-21.66721,-0.75602,6.54449,-1.39163,-1.78507,0.05,24.86019,20.68947, true
-21.68877,-0.43119,6.4967,-0.95573,-1.78364,0.05,24.86476,20.71054, true
-21.69415,-0.1077,6.46971,-0.53983,-1.78329,0.05,24.8659,20.7158, true
-21.68338,0.21545,6.463,-0.13427,-1.78399,0.05,24.86363,20.70527, true
-21.65642,0.53927,6.47644,0.26882,-1.7858,0.05,24.8579,20.67892, true
-21.65642,0,-10.78535,-345.23575,-1.78877,0.05,24.84861,20.63669, true
-21.65642,0,0,215.707,-1.78877,0.05,24.84861,20.63669, true
-21.65642,0,0,0,-1.78877,0.05,24.84861,20.63669, false
-21.64019,0.32458,6.49152,129.83047,-1.78764,0.05,24.85211,20.65254, false
-21.60778,0.64813,6.47116,-0.40736,-1.78543,0.05,24.85905,20.6842, false
-21.5593,0.96967,6.4308,-0.80712,-1.78224,0.05,24.8693,20.73158, false
-21.49489,1.28823,6.37115,-1.19305,-1.77819,0.05,24.88269,20.79459, false
-21.41474,1.60288,6.29307,-1.5616,-1.77347,0.05,24.899,20.87305, false
-21.3191,1.91275,6.1974,-1.91342,-1.7683,0.05,24.91801,20.96679, false
-21.20825,2.21699,6.08465,-2.25496,-1.76293,0.05,24.93946,21.07554, false
-21.08252,2.51472,5.95463,-2.60041,-1.75767,0.05,24.96314,21.19903, false
-20.94227,2.80501,5.80591,-2.97437,-1.75286,0.05,24.98885,21.3369, false
-20.78793,3.08677,5.63512,-3.41585,-1.74888,0.05,25.01647,21.48875, false
-20.63519,3.05486,-0.63816,-125.46561,-1.74636,0.05,25.04332,21.63911, false
-20.48408,3.02208,-0.65562,-0.34903,-1.74535,0.05,25.06962,21.78791, false
-20.37927,2.09626,-18.51635,-357.21465,-1.7463,0.05,25.05138,21.68469, false
-20.22608,3.06382,19.35123,757.35155,-1.74923,0.05,25.02443,21.53389, false
-20.07198,3.08195,0.36245,-379.77555,-1.75298,0.05,24.99679,21.38229, false
-19.91807,3.0782,-0.07486,-8.74625,-1.75657,0.05,24.96863,21.23098, false
-19.76527,3.05611,-0.44193,-7.34139,-1.75915,0.05,24.9402,21.08085, false
-19.61431,3.01914,-0.73927,-5.94682,-1.76002,0.05,24.91184,20.93257, false
-19.46577,2.97075,-0.96782,-4.57101,-1.75868,0.05,24.88397,20.78668, false
-19.32005,2.91433,-1.1285,-3.21365,-1.75475,0.05,24.857,20.64348, false
-19.17739,2.85324,-1.22171,-1.86417,-1.74802,0.05,24.83134,20.50314, false
-19.03785,2.7909,-1.24693,-0.50445,-1.73843,0.05,24.80736,20.36567, false
