position,velocity,acceleration,jerk,heading,dt,x,y,
-23.37642,-3.59068,8.10049,-7.44904,-2.14326,0.05,23.44371,21.62119, true
-23.53654,-3.20254,7.76289,-6.75205,-2.12938,0.05,23.52949,21.7564, true
-23.67802,-2.82949,7.461,-6.03765,-2.11886,0.05,23.60382,21.87677, true
-23.80151,-2.46985,7.19268,-5.36639,-2.11107,0.05,23.66774,21.98243, true
-23.90761,-2.12209,6.95524,-4.74896,-2.10547,0.05,23.72206,22.07358, true
-23.99685,-1.78476,6.74667,-4.17137,-2.10158,0.05,23.76738,22.15046, true
-24.06967,-1.45645,6.56616,-3.61026,-2.09899,0.05,23.80416,22.21331, true
-24.12646,-1.13575,6.41405,-3.04209,-2.09735,0.05,23.83273,22.26238, true
-24.16752,-0.82117,6.29162,-2.4487,-2.09638,0.05,23.85335,22.29789, true
-24.19308,-0.51114,6.20059,-1.82044,-2.09587,0.05,23.86617,22.32, true
-24.20328,-0.204,6.14274,-1.15716,-2.09569,0.05,23.87128,22.32883, true
-24.20328,0,4.08001,-41.25448,-2.09578,0.05,23.86872,22.32441, true
-24.20328,0,0,-81.60024,-2.09578,0.05,23.86872,22.32441, true
-24.20328,0,0,0,-2.09578,0.05,23.86872,22.32441, false
-24.18799,0.30571,6.11415,122.28293,-2.09552,0.05,23.87638,22.33764, false
-24.15751,0.60964,6.07872,-0.70849,-2.09507,0.05,23.89165,22.36403, false
-24.11201,0.90999,6.00687,-1.43703,-2.09462,0.05,23.91441,22.40342, false
-24.05336,1.17306,5.26145,-14.90845,-2.0944,0.05,23.94374,22.45421, false
-23.97909,1.48537,6.24617,19.6944,-2.09372,0.05,23.90662,22.38989, false
-23.89178,1.74619,5.2165,-20.59341,-2.09126,0.05,23.8631,22.3142, false
-23.79225,1.99054,4.88698,-6.59041,-2.08624,0.05,23.81381,22.22773, false
-23.68135,2.21799,4.549,-6.75945,-2.07789,0.05,23.75953,22.13103, false
-23.55991,2.42893,4.21885,-6.603,-2.06546,0.05,23.70118,22.02452, false
-23.42867,2.62472,3.91563,-6.0644,-2.04825,0.05,23.63983,21.9085, false
-23.28827,2.80792,3.66403,-5.03201,-2.02568,0.05,23.57669,21.78311, false
-23.13914,2.98278,3.49729,-3.33498,-1.99738,0.05,23.51302,21.64824, false
-22.98135,3.15571,3.45862,-0.77332,-1.96325,0.05,23.45014,21.50352, false
-22.82246,3.17788,0.44335,-60.30547,-1.92555,0.05,23.39212,21.3556, false
-22.66529,3.14328,-0.69196,-22.70611,-1.88627,0.05,23.34041,21.20719, false
-22.5086,3.13379,-0.18978,10.04359,-1.84655,0.05,23.29477,21.05729, false
-22.35119,3.14823,0.28874,9.57047,-1.8075,0.05,23.25489,20.90502, false
-22.19198,3.18418,0.71903,8.60578,-1.77009,0.05,23.22049,20.74957, false
-22.03007,3.23827,1.08169,7.25324,-1.73516,0.05,23.19126,20.59032, false
-21.86474,3.30657,1.366,5.68617,-1.70337,0.05,23.16686,20.4268, false
-21.69548,3.38509,1.57044,4.08874,-1.67517,0.05,23.14692,20.25872, false
-21.52198,3.47013,1.70084,2.60807,-1.65087,0.05,23.13101,20.08595, false
-21.35755,3.28853,-3.63211,-106.65897,-1.632,0.05,23.11946,19.92193, false
-21.2031,3.08914,-3.98774,-7.11274,-1.61775,0.05,23.11115,19.76769, false
-21.05949,2.87214,-4.34002,-7.04564,-1.6073,0.05,23.10519,19.62421, false
-20.92755,2.63874,-4.66791,-6.5578,-1.5999,0.05,23.10088,19.49234, false
-20.80802,2.39069,-4.96097,-5.86118,-1.59489,0.05,23.09772,19.37285, false
-20.70152,2.12994,-5.21506,-5.08164,-1.59168,0.05,23.09534,19.26638, false
-20.6086,1.85846,-5.42964,-4.29176,-1.58977,0.05,23.09349,19.17348, false
-20.52969,1.57814,-5.60628,-3.53265,-1.58877,0.05,23.09204,19.09458, false
-20.46515,1.29076,-5.7476,-2.82651,-1.58834,0.05,23.09089,19.03005, false
-20.41606,0.98176,-6.18007,-8.64937,-1.58825,0.05,23.09003,18.98097, false
-20.41606,0,-19.63522,-269.10305,-1.58825,0.05,23.09003,18.98097, false
-20.41606,0,0,392.70444,-1.58825,0.05,23.09003,18.98097, false
-20.41606,0,0,0,-1.58825,0.05,23.09003,18.98097, false
-20.41606,0,0,0,-1.58825,0.05,23.09003,18.98097, false
-20.41606,0,0,0,-1.58825,0.05,23.09003,18.98097, false
