timestamp,dt,CAN Time(ms),Left TPos,Right TPos,Left APos,Right APos,Right Target,Left Target,Left Actual,Right Actual,Left Setpoint,Right Setpoint,Heading Diff,Target Heading,Acutal Heading,T %,LX,LY,RX,RY
34.856872,0.050006000000003326,3.1520000000000437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.0,,NaN,2.0,14.5902,2.0,12.4098
34.873945,0.1772020000000012,2.5650000000041473,0.03,0.03,0.0,0.0,0.6,0.6,0.0,0.0,34.54437285383256,35.226645351260785,0.009999999776482582,0.0,,-7.069126983223569E-5,2.03,14.5902,2.03,12.4098
34.890234,0.013140999999997405,3.2730000000000814,0.09,0.09,0.0,0.0,1.2,1.2,0.0,0.0,69.7660631081345,71.80813888084133,0.009999999776482582,0.0,,-7.102446000398373E-5,2.09,14.5902,2.09,12.4098
34.907776,0.016570000000001528,2.6390000000020564,0.18,0.18,0.0,0.0,1.8,1.8,0.0,0.0,105.66507076290578,109.74448058874162,0.009999999776482582,0.0,,-7.135124288808146E-5,2.18,14.5902,2.18,12.4098
34.925289,0.01749900000000082,2.5300000000001432,0.3,0.3,0.0,0.0,2.4,2.4,0.0,0.0,142.24139581814646,149.03567047496168,0.009999999776482582,0.0,,-7.167180154378768E-5,2.3,14.5902,2.3,12.4098
34.948657,0.025553999999999633,2.88900000000325,0.45,0.45,2.59498416617321E-4,7.784952498519628E-4,3.0,3.0,0.0,0.0,179.47626058410054,189.65947060425745,0.019999999552965164,0.0,,-1.4397169030340426E-4,2.45,14.5902,2.45,12.4098
34.993697,0.05004999999999882,1.9279999999994857,0.63,0.63,0.015050908163804614,0.026728336911584057,3.6,3.6,0.10898933497927481,0.20240876496151033,217.21152580179194,230.35019211060504,-0.07000000029802322,0.0,,5.048195345556378E-4,2.63,14.5902,2.63,12.4098
35.043415,0.04990699999999748,2.048000000002048,0.84,0.84,0.07707102973534433,0.10743234447957087,4.2,4.2,0.6617209623741684,0.9419792523208751,254.7348356102998,269.74597210492533,-0.23000000417232513,0.0,,0.0016574374559266227,2.84,14.5902,2.84,12.4098
35.094773,0.05007600000000423,4.334999999997535,1.08,1.08,0.18995284096387893,0.19150983146358286,4.8,4.8,1.224832526433755,1.5258506897098474,292.87398070902503,310.1713636378173,-0.4300000071525574,0.0,,0.003098886613762742,3.08,14.5902,3.08,12.4098
35.145519,0.04990299999999337,1.8079999999969232,1.35,1.35,0.2942712044440419,0.36329778326424933,5.4,5.4,2.063012412107702,2.4185252428734314,330.3240027633246,347.72234066892406,-0.699999988079071,0.0,,0.005029042695117019,3.35,14.5902,3.35,12.4098
35.192698,0.05002300000000304,2.5700000000057344,1.65,1.65,0.4219444254197639,0.5078384013200972,6.0,6.0,2.639098896998154,3.056891347752041,368.99227368331077,387.7044219131334,-0.9700000286102295,0.0,,0.006962165716042073,3.65,14.5902,3.65,12.4098
35.238715,0.050116000000002714,2.169999999999561,1.98,1.98,0.6443345684608079,0.6814428420370848,6.6,6.6,3.4201891310162904,3.736777199289422,406.37093923444087,427.55710222998795,-1.25,0.0,,0.008978090776570136,3.98,14.5902,3.98,12.4098
35.291834,0.04992299999999972,2.349000000002377,2.34,2.34,0.8223504822602901,0.9671505987327552,7.2,7.2,3.910641138423027,4.460777781651747,446.20584973358285,462.92515630261965,-1.7300000190734863,0.0,,0.012336880624776671,4.34,14.5902,4.34,12.4098
35.34338,0.04997499999999633,1.8289999999936413,2.73,2.73,1.1324510901179887,1.3151379754165826,7.8,7.8,4.7592009607616665,5.348262366482985,483.8906640149945,496.6805502967709,-2.190000057220459,0.0,,0.015532596747614353,4.73,14.5902,4.73,12.4098
35.390719,0.049981000000002496,2.184999999997217,3.15,3.15,1.368075652406516,1.5689274268683224,8.4,8.4,5.324907508987426,5.913968914708745,524.1642470043699,535.8148880367476,-2.630000114440918,0.0,,0.01861460108808144,5.15,14.5902,5.15,12.4098
35.442949,0.05001299999999986,2.291999999997074,3.6,3.6,1.7451268517514833,1.984124893456036,9.0,9.0,6.067072980512964,6.601639718744646,561.7985573683264,569.138242105932,-3.0,0.0,,0.021137178511290357,5.6,14.5902,5.6,12.4098
35.490293,0.049993999999998096,1.3140000000007035,4.08,4.08,2.0207141701990783,2.2841050630656587,9.6,9.6,6.477080478768331,7.079116805320515,603.6302090697349,607.790561041454,-3.5899999141693115,0.0,,0.025216600136672148,6.08,14.5902,6.08,12.4098
35.543697,0.049989000000003614,4.021000000001607,4.59,4.59,2.4810643612782055,2.7807850324712113,10.2,10.2,7.250385760287947,7.5643788443949065,640.9877046761009,647.5468579008073,-3.9000000953674316,0.0,,0.027439679546048854,6.59,14.5902,6.59,12.4098
35.594368,0.0499979999999951,2.4599999999992406,5.13,5.13,2.975408844934202,3.139411844236349,10.8,10.8,7.932866595991502,8.485598223386395,681.7915931091122,679.4377556373043,-4.21999979019165,0.0,,0.02948900614879901,7.13,14.5902,7.13,12.4098
35.644221,0.05002300000000304,5.380999999999858,5.7,5.7,3.311978291286868,3.4873992209201763,11.4,11.4,8.233884759267594,8.708766861677292,721.0917323541809,719.7864431405335,-4.690000057220459,0.0,,0.032800286673784096,7.7,14.5902,7.7,12.4098
35.690938,0.049965999999997734,1.2500000000059686,6.3,6.3,3.695776449463885,4.057776740645048,12.0,12.0,8.58680260586715,9.136939249095871,763.1246907995227,751.7118207722782,-5.079999923706055,0.0,,0.03529409164185633,8.3,14.5902,8.3,12.4098
35.747238,0.04999300000000062,2.7589999999975134,6.9,6.9,4.260445004023175,4.654623098864886,12.0,12.0,9.367892839885286,9.567706620680623,765.0591615613263,759.6823803362573,-5.260000228881836,0.0,,0.03669061742950472,8.9,14.5902,8.9,12.4098
