timestamp,Right Pos,Left Pos,Right Vel,Left Vel
21.797619,0.0,0.0,0.0,0.0
21.846897,0.30361314744226553,0.29530919811051126,2.737708295312736,2.5508694353482655
21.883694,0.48214805807498234,0.4647616641616218,3.526583481829392,2.9349270919419004
21.920409,0.6964937502008894,0.5527316273948937,4.515272449141384,3.8172217084407913
21.951798,0.8088565645961895,0.7844637134341612,4.930469915729099,4.717681214102895
21.986594,1.0527850762164712,1.0094488406413784,5.568836020607708,5.3300974773197725
22.023416,1.3335623629964124,1.1412740362829776,6.194227204655451,5.68301532391933
22.056811,1.5883898081146215,1.3810505732373821,6.580879845415259,6.028148218020366
22.08774,1.724626476838715,1.6462579550202843,6.695059148726881,6.38625603295227
22.110584,1.8437362500660652,1.7793806427449697,6.643159465403417,6.458915589605119
22.135844,2.124254038429389,1.9262567465503735,6.510815272928583,6.510815272928583
22.16718,2.2698326501517063,2.2405093290739493,6.746958832050344,7.092091726151382
22.188822,2.4257911985387164,2.387125934462736,6.936392676180989,7.281525570282026
22.219657,2.724992872898487,2.5241410984366808,7.5202641135699615,7.393109889427475
22.250899,2.868754995704483,2.8168553123810187,7.553998907730214,7.494314271908229
22.273907,3.1396713426529663,2.9525729842718778,7.250385760287947,7.281525570282026
22.304017,3.2756485129604425,3.2177803660547797,7.105066646982248,6.9856973753382805
22.330261,3.4009862481866087,3.355574025278577,6.837783277866407,6.7988585153738095
22.35747,3.6830610270496367,3.4905132019195837,6.7002491170592275,6.658729370400455
22.393029,3.98200320299279,3.784265409530392,6.915632802851603,6.876708040359006
22.423488,4.130436297297897,3.9254325481702144,7.136206456976327,7.035002074495571
22.451746,4.406542612578727,4.22022274944749,7.356780111101049,7.291905506946719
22.480551,4.536291820887388,4.351528948255855,7.0843067736528615,7.265955665284987
22.526971,4.81888559658365,4.766726414843569,6.918227787017776,6.884492992857526
22.564351,5.091358934031837,5.056586146205117,6.811833436204676,6.959747533676548
22.596957,5.393415090974399,5.191525322846124,7.206271029463003,7.027217121997052
22.633223,5.530430254948344,5.479309066874732,7.2088660136291765,7.214055981961523
22.664748,5.8026440939799135,5.748668423323512,7.125826520311634,7.006457248667666
22.708876,6.0771934187610395,6.032040694269626,6.871518072026659,6.962342517842722
22.74408,6.374319105787872,6.314634469965887,6.980507407005934,6.918227787017776
22.776329,6.658469871983839,6.461510573771292,7.079116805320515,7.092091726151382
22.811748,6.791852058125142,6.751110806716222,7.13101648864398,7.12323153614546
22.834755,7.070293859155527,6.886568980190464,7.086901757819035,7.146586393641019
22.860003,7.200302565880804,7.027217121997051,6.92860772368247,7.146586393641019
22.888686,7.341469704520627,7.301247449944943,6.897467913688391,6.962342517842722
22.917297,7.625101473883359,7.4437120806678525,6.933797692014816,6.977912422839761
22.951519,7.764192625190242,7.734350307279251,6.905252866186911,7.001267280335319
22.979071,8.071957747298386,7.880188417418186,7.224435918626216,7.050571979492611
23.013538,8.343912087913338,8.163820186780917,7.2088660136291765,7.219245950293869
23.045114,8.485598223386395,8.444597473560858,7.20367604529683,7.105066646982248
23.079998,8.751324602002532,8.57616317078584,6.9234177553501235,7.06614188448965
23.113297,9.04585530486319,8.845003530401383,6.829998325367887,6.814428420370849
23.142605,9.187800938752865,8.996291107289283,6.970127470341241,6.8351882937002335
23.172905,9.47013521603251,9.28900532123362,6.964937502008895,7.06614188448965
23.199408,9.617789815087766,9.423944497874627,7.26855064945116,7.112851599480767
23.230863,9.752988490145391,9.71328523240294,7.201081061130656,7.2166509661276965
23.267141,10.023385840260639,9.974340639519966,7.022027153664705,6.918227787017776
23.300979,10.304941622290434,10.12303323224169,6.842973246198754,6.905252866186911
23.331976,10.43702631634865,10.40510801110472,6.8066434678723295,6.910442834519257
23.359923,10.727924041376665,10.545237156078072,7.042787026994091,6.959747533676548
23.393584,10.997023899408827,10.81667249985979,6.998672296169146,7.045382011160265
23.431849,11.149608968379813,11.100044770805903,7.037597058661745,6.926012739516296
23.463546,11.431164750409605,11.248477865111012,6.964937502008895,6.9960773120029724
23.495014,11.717132005521893,11.531590637640509,7.169941251136578,7.063546900323477
23.538661,11.984934371470969,11.815481905419857,7.035002074495571,7.177726203635098
23.577772,12.26674965191738,12.076537312536884,6.9934823278368,6.938987660347163
23.616323,12.405321806391028,12.37314400273048,6.915632802851603,6.949367597011856
23.645188,12.702706991834479,12.649509816427928,7.037597058661745,7.032407090329398
23.675965,12.979591802365158,12.801316390149061,7.1543713461395395,7.159561314471886
23.716235,13.257514606562312,13.067561765598432,7.107661631148421,7.071331852821997
23.745896,13.397643751535663,13.35638350329351,7.063546900323477,6.9960773120029724
23.779766,13.683870505064569,13.498848134016418,6.926012739516296,6.980507407005934
23.822157,13.96776177284392,13.780922912879447,7.125826520311634,7.024622137830878
23.856603,14.242311097625043,14.053915247160868,7.068736868655823,7.076521821154342
23.884832,14.386332718847658,14.340142000689774,7.099876678649902,7.001267280335319
23.921696,14.659325053129079,14.476378669413867,6.918227787017776,7.024622137830878
23.956161,14.951001273406948,14.761048432443069,7.081711789486689,6.990887343670626
23.99474,15.222696115605281,15.038711738223602,6.9960773120029724,7.071331852821997
24.030085,15.365679743161426,15.312742066171493,7.035002074495571,6.970127470341241
24.061367,15.643602547358576,15.455985192144253,6.951962581178028,7.001267280335319
24.090729,15.780617711332521,15.740654955173454,6.907847850353083,6.964937502008895
24.114403,16.067103963278043,15.872999147648288,7.035002074495571,6.980507407005934
24.137722,16.20022665100273,16.02117274353678,6.949367597011856,7.014242201166185
